item_id,item_name_en,item_name_ar,type,positions,surah_number,surah_name,surah_name_ar,aya_from,aya_to
,,,,5,41,Fussilat,فصلت,17,18
,,,,6,51,Adh-Dhaariyat,الذاريات,43,45
,,,,7,54,Al-Qamar,القمر,23,31
,,,,8,69,Al-Haaqqa,الحاقة,4,5
,,,,9,91,Ash-Shams,الشمس,11,15
9,Sulaiman,قصص أنبياء -سليمان عليه السلام,prophet,1,21,Al-Anbiyaa,الأنبياء,78,82
,,,,2,27,An-Naml,النمل,15,44
,,,,3,34,Saba,سبأ,12,14
,,,,4,38,Saad,ص,30,40
10,Hud,قصص أنبياء - هود عليه السلام,prophet,1,7,Al-A'raaf,الأعراف,65,72
,,,,2,11,Hud,هود,50,60
,,,,3,26,Ash-Shu'araa,الشعراء,123,140
,,,,4,41,Fussilat,فصلت,13,16
,,,,5,54,Al-Qamar,القمر,18,21
,,,,6,69,Al-Haaqqa,الحاقة,6,8
11,Maryam,قصص أخرى - مريم عليها السلام ,other,1,3,Aal-i-Imraan,آل عمران,33,48
,,,,2,19,Maryam,مريم,16,24
,,,,3,19,Maryam,مريم,26,36
,,,,4,21,Al-Anbiyaa,الأنبياء,91,91
,,,,5,23,Al-Muminoon,المؤمنون,50,50
,,,,6,66,At-Tahrim,التحريم,12,12
12,Shoab,قصص أنبياء - شعيب عليه السلام,prophet,1,7,Al-A'raaf,الأعراف,85,92
,,,,2,11,Hud,هود,84,85
,,,,3,26,Ash-Shu'araa,الشعراء,176,191
,,,,4,29,Al-Ankaboot,العنكبوت,36,37
13,Dawood,قصص أنبياء - داود عليه السلام,prophet,1,2,Al-Baqara,البقرة,249,251
,,,,2,21, Al-Anbiyaa,الأنبياء,78,82
,,,,3,27,An-Naml,النمل,15,16
,,,,4,34,Saba,سبأ,10,11
,,,,5,38,Saad,ص,17,30
14,Adam,قصص أنبياء - ادم عليه السلام,prophet ,1,2,Al-Baqara,البقرة,30,38
,,,,2,7,Al-A'raaf,الأعراف,11,27
15, prophets miracles,قصص أخرى – معجزات الانبياء,other,1,26,Ash-Shu'araa,الشعراء,30,34
,,,,2,26,Ash-Shu'araa,الشعراء,43,48
,,,,3,26,Ash-Shu'araa,الشعراء,63,67
,,,,4,26,Ash-Shu'araa,الشعراء,154,156
16,The People of the Cave,قصص أخرى – اصحاب الكهف,other,1,18,Al-Kahf,الكهف,9,26
17,Zul qarnain,قصص أخرى – ذي القرنين,other,1,18,Al-Kahf,الكهف,83,100
18,Zakaria,قصص أنبياء - زكريا عليه السلام,prophet,1,3,Aal-i-Imraan,آل عمران,37,41
